t,9e943aad3ee91da13ed9c5e5c9257647,7fa37d4c214ac49eb8e80bc949a5d0ec,Let's Make it Happen!,"A typical day in our classroom is the children walk in,  empty out their book bags, sharpen their pencils and begin their work.  It could be a writing assignment, an art project or working on something that they did not finish the previous day. <!--DONOTRE","My students need a laminating machine to laminate their vocabulary words, their sight words and their word study words.  Microsoft would be installed in the computer.",2014-10-29
t,4eebba4a9c12da32d96c8025d9cbff66,1d93455fcf504ddaf21367bf03593ba0,Smart Board Step Stool Needed,"As a first grade public school teacher in a low income/high need community, I try to expose my first grade students to all facets of learning in order to help them meet their potential and enjoy the learning experience. <!--DONOTREMOVEESSAYDIVIDER-->I have",My students need a step stool to reach the smart board in the classroom.,2014-10-29
t,c8066bd8ecf37c791b5db4d4d45c8afa,c20bcc080cc82d920fcb47516ec8d69d,Math can be fun with graphing calculators for everyone!,"I am a new teacher that has accepted the challenge to inspire, motivate and teach growing high school students. <!--DONOTREMOVEESSAYDIVIDER-->My students are extremely energetic, creative and eager to learn. 40% of the community lives in poverty where a lo",My students need graphing calculators to enhance their learning in my classroom.,2014-10-29
t,1ae52d2e31e4d76af51025d60b6fc06c,05ed37de490934ac6fa65bea818df46a,Where Oh Where Did Our Hard Work Go?,My students are filled with hope.   They have the hope that they can be anything they want in spite of their circumstances.  They are not afraid to fail they are only afraid not to try. <!--DONOTREMOVEESSAYDIVIDER-->My students are fourth graders.   The cl,"My students need An easel in the classroom to create graphic organizers during reading whole group.   They also need to practice writing, spelling, and math.",2014-10-29
t,ebaacd71106a4687f038d72ae3296305,fd8bcab754b3552e0ad9f2933a73a2da,Draft project 10/29/14,"I am in my second year teaching 24 vibrant 3rd graders.  Each day they show up with a smile on their face asking me ""what are we going to do today?""  They are eager to learn and happy to be at school. <!--DONOTREMOVEESSAYDIVIDER-->People often ask me: why",My students need iPad mini tablets and protective cases to enhance their learning in the classroom and increase their knowledge of technology.,2014-10-29
t,86c77ba459dbaf33df8914ba66d22404,6a449611217d88bdaa0e21835ca137bb,Getting Comfy and Promoting Independence...,"""Independence is Happiness"" -Susan B. Anthony
Entering into my Life Skills classroom, you see an environment designed to promote independence and help students with multiple disabilities develop functional life skills. Students learn in the classroom, sch",My students need 4 replacement bean bag chairs for our meeting/reading/video area and DVDs to support our life skills curriculum and promote independence.,2014-10-29
t,9f170b7a9d76fda752be34cbe1f008d7,a0d8f2aa28c9bca3457097d6b477efd1,Teach for the Planet,"""I really had a lot of dreams when I was a kid, and I think a great deal of that grew out of the fact that I had a chance to read a lot.""
- Bill Gates <!--DONOTREMOVEESSAYDIVIDER-->As the technology integration specialist, I teach all students in grades 1","My students need 10 Chromebooks with a wireless mouse, a tripod for their iPad minis, and USB hubs to keep the iPads charged.",2014-10-29
t,9222496a355c56802a79776ed62a0da1,582fd7fb6372165f50f61bed095f8e6e,21st Century Printing Press,"""What we find, changes who we become."" My students need the resources to change their course in life, to explore, and to find their passions through research. Imagine trying to navigate the 21st century without the necessary tools? For us, today's tools ar",My students need printers with ink so they can complete high school level research. This will help them write and print essays that reflect a higher caliber of work.,2014-10-29
t,fc9f68439c0eb679a123e4ba293ece66,300696bf580268f6726dfe945b03c6ed,"Books, Books, Books",I work with all the students in my school to provide books that are at their independent reading level.  It is very important that students have high interest books to read at the right level to improve their reading growth.  The only way for students to b,"My students need series books to help them get hooked on reading including Babymouse, Amelia Bedelia and Sports Illustrated graphic novels.",2014-10-29
t,12818a7af2f5d90e7cab5ff74735b653,699d0df8c504592b9ff294ffa5d3a8a1,Now I Can Hear It,"Many times each day I hear my students say, ""I can't hear it"" or ""This is broken"" while they are trying to do something on the computer or even in the computer lab. <!--DONOTREMOVEESSAYDIVIDER-->My students are first graders at an urban inner city school.",My students need headphones so that they can hear when they are using technology.,2014-10-29
